x,y
3.443,-1.273
3.443,-1.264
3.443,-1.255
3.443,-1.246
3.443,-1.237
3.443,-1.228
3.452,-1.219
3.452,-1.21
3.452,-1.201
3.452,-1.192
3.452,-1.183
3.461,-1.174
3.461,-1.165
3.461,-1.156
3.461,-1.147
3.461,-1.138
3.47,-1.129
3.47,-1.12
3.47,-1.111
3.47,-1.102
3.47,-1.093
3.47,-1.084
3.479,-1.075
3.479,-1.066
3.479,-1.057
3.479,-1.048
3.479,-1.039
3.479,-1.03
3.479,-1.021
3.479,-1.012
3.488,-1.003
3.488,-0.994
3.488,-0.985
3.488,-0.976
3.488,-0.967
3.488,-0.958
3.488,-0.949
3.488,-0.94
3.488,-0.931
3.488,-0.922
3.488,-0.913
3.497,-0.904
3.497,-0.895
3.497,-0.886
3.506,-0.877
3.506,-0.868
3.506,-0.859
3.506,-0.85
3.515,-0.841
3.515,-0.832
3.515,-0.823
3.515,-0.814
3.515,-0.805
3.524,-0.796
3.524,-0.787
3.524,-0.778
3.524,-0.769
3.533,-0.76
3.533,-0.751
3.533,-0.742
3.542,-0.733
3.542,-0.724
3.551,-0.715
3.551,-0.706
3.56,-0.697
3.56,-0.688
3.56,-0.679
3.569,-0.67
3.569,-0.661
3.569,-0.652
3.578,-0.643
3.578,-0.634
3.578,-0.625
3.578,-0.616
3.578,-0.607
3.578,-0.598
3.587,-0.589
3.587,-0.58
3.587,-0.571
3.587,-0.562
3.587,-0.553
3.587,-0.544
3.587,-0.535
3.596,-0.526
3.596,-0.517
3.596,-0.508
3.596,-0.499
3.596,-0.49
3.605,-0.481
3.605,-0.472
3.605,-0.463
3.605,-0.454
3.605,-0.445
3.605,-0.436
3.605,-0.427
3.605,-0.418
3.605,-0.409
3.614,-0.4
3.614,-0.391
3.614,-0.382
3.614,-0.373
3.614,-0.364
3.614,-0.355
3.614,-0.346
3.623,-0.337
3.623,-0.328
3.623,-0.319
3.623,-0.31
3.623,-0.301
3.623,-0.292
3.623,-0.283
3.623,-0.274
3.623,-0.265
3.623,-0.256
3.623,-0.247
3.623,-0.238
3.623,-0.229
3.623,-0.22
3.623,-0.211
3.632,-0.202
3.632,-0.193
3.632,-0.184
3.632,-0.175
3.632,-0.166
3.632,-0.157
3.641,-0.148
3.641,-0.139
3.641,-0.13
3.641,-0.121
3.641,-0.112
3.641,-0.103
3.65,-0.094
3.65,-0.085
3.65,-0.076
3.65,-0.067
3.65,-0.058
3.659,-0.049
3.659,-0.04
3.659,-0.031
3.659,-0.022
3.659,-0.013
3.668,-0.004
3.668,0.005
3.668,0.014
3.677,0.023
3.677,0.032
3.677,0.041
3.677,0.05
3.686,0.059
3.686,0.068
3.686,0.077
3.695,0.086
3.695,0.095
3.695,0.104
3.695,0.113
3.695,0.122
3.695,0.131
3.695,0.14
3.686,0.149
3.686,0.158
3.686,0.167
3.686,0.176
3.677,0.185
3.677,0.194
3.668,0.203
3.668,0.212
3.668,0.221
3.668,0.23
3.659,0.239
3.659,0.248
3.659,0.257
3.65,0.266
3.65,0.275
3.65,0.284
3.641,0.293
3.641,0.302
3.641,0.311
3.632,0.32
3.623,0.329
3.614,0.338
3.605,0.347
3.596,0.356
3.587,0.365
3.578,0.365
3.569,0.374
3.56,0.383
3.551,0.383
3.542,0.392
3.533,0.401
3.524,0.401
3.515,0.41
3.506,0.419
3.497,0.419
3.488,0.428
3.479,0.428
3.47,0.428
3.461,0.437
3.452,0.437
3.443,0.437
3.434,0.437
3.425,0.446
3.416,0.446
3.407,0.455
3.398,0.455
3.389,0.464
3.38,0.464
3.371,0.473
3.362,0.473
3.353,0.482
3.344,0.491
3.335,0.491
3.326,0.5
3.317,0.509
3.308,0.509
3.299,0.518
3.29,0.518
3.281,0.518
3.272,0.518
3.263,0.509
3.254,0.509
3.245,0.509
3.236,0.509
3.227,0.509
3.218,0.509
3.209,0.509
3.2,0.509
3.191,0.509
3.182,0.509
3.173,0.5
3.164,0.5
3.155,0.5
3.146,0.5
3.137,0.5
3.128,0.491
3.119,0.491
3.11,0.491
3.101,0.491
3.092,0.491
3.083,0.491
3.074,0.482
3.065,0.482
3.056,0.482
3.047,0.482
3.038,0.473
3.029,0.473
3.02,0.473
3.011,0.473
3.002,0.473
2.993,0.464
2.984,0.464
2.975,0.464
2.966,0.464
2.957,0.464
2.948,0.455
2.939,0.455
2.93,0.455
2.921,0.455
2.912,0.455
2.903,0.455
2.894,0.455
2.885,0.446
2.876,0.446
2.867,0.446
2.858,0.446
2.849,0.446
2.84,0.437
2.831,0.437
2.822,0.437
2.813,0.428
2.804,0.428
2.795,0.428
2.786,0.419
2.777,0.419
2.768,0.419
2.759,0.41
2.75,0.41
2.741,0.41
2.732,0.401
2.723,0.401
2.714,0.401
2.705,0.392
2.696,0.392
2.687,0.392
2.678,0.383
2.669,0.383
2.66,0.383
2.651,0.374
2.642,0.374
2.633,0.374
2.624,0.374
2.615,0.365
2.606,0.365
2.597,0.365
2.588,0.356
2.579,0.356
2.57,0.356
2.561,0.356
2.552,0.347
2.543,0.347
2.534,0.347
2.525,0.338
2.516,0.338
2.507,0.338
2.498,0.329
2.489,0.329
2.48,0.329
2.471,0.329
2.462,0.32
2.453,0.32
2.444,0.32
2.435,0.32
2.426,0.311
2.417,0.311
2.408,0.311
2.399,0.311
2.39,0.302
2.381,0.302
2.372,0.302
2.363,0.302
2.354,0.302
2.345,0.293
2.336,0.293
2.327,0.293
2.318,0.284
2.309,0.284
2.3,0.284
2.291,0.275
2.282,0.275
2.273,0.275
2.264,0.275
2.255,0.275
2.246,0.275
2.237,0.275
2.228,0.275
2.219,0.275
2.21,0.275
2.201,0.275
2.192,0.275
2.183,0.275
2.174,0.266
2.165,0.266
2.156,0.266
2.147,0.266
2.138,0.266
2.129,0.266
2.12,0.257
2.111,0.257
2.102,0.257
2.093,0.257
2.084,0.257
2.075,0.257
2.066,0.257
2.057,0.257
2.048,0.257
2.039,0.257
2.03,0.257
2.021,0.248
2.012,0.248
2.003,0.248
1.994,0.248
1.985,0.248
1.976,0.239
1.967,0.239
1.958,0.239
1.949,0.239
1.94,0.239
1.931,0.239
1.922,0.23
1.913,0.23
1.904,0.23
1.895,0.23
1.886,0.23
1.877,0.23
1.868,0.23
1.859,0.221
1.85,0.221
1.841,0.221
1.832,0.221
1.823,0.221
1.814,0.221
1.805,0.221
1.796,0.212
1.787,0.212
1.778,0.212
1.769,0.212
1.76,0.212
1.751,0.203
1.742,0.203
1.733,0.203
1.724,0.203
1.715,0.203
1.706,0.194
1.697,0.194
1.688,0.194
1.679,0.194
1.67,0.185
1.661,0.185
1.652,0.185
1.643,0.185
1.634,0.185
1.625,0.185
1.616,0.176
1.607,0.176
1.598,0.176
1.589,0.176
1.58,0.176
1.571,0.167
1.562,0.167
1.553,0.167
1.544,0.167
1.535,0.158
1.526,0.158
1.517,0.158
1.508,0.158
1.499,0.149
1.49,0.149
1.481,0.149
1.472,0.149
1.463,0.14
1.454,0.14
1.445,0.14
1.436,0.14
1.427,0.14
1.418,0.14
1.409,0.14
1.4,0.131
1.391,0.131
1.382,0.131
1.373,0.131
1.364,0.131
1.355,0.131
1.346,0.131
1.337,0.131
1.328,0.131
1.319,0.131
1.31,0.131
1.301,0.131
1.292,0.131
1.283,0.122
1.274,0.122
1.265,0.122
1.256,0.122
1.247,0.122
1.238,0.122
1.229,0.122
1.22,0.122
1.211,0.122
1.202,0.122
1.193,0.113
1.184,0.113
1.175,0.113
1.166,0.113
1.157,0.113
1.148,0.113
1.139,0.104
1.13,0.104
1.121,0.104
1.112,0.104
1.103,0.104
1.094,0.104
1.085,0.104
1.076,0.104
1.067,0.104
1.058,0.104
1.049,0.095
1.04,0.095
1.031,0.095
1.022,0.095
1.013,0.095
1.004,0.095
0.995,0.095
0.986,0.095
0.977,0.095
0.968,0.095
0.959,0.095
0.95,0.095
0.941,0.095
0.932,0.095
0.923,0.095
0.914,0.095
0.905,0.095
0.896,0.095
0.887,0.095
0.878,0.095
0.869,0.095
0.86,0.095
0.851,0.095
0.842,0.095
0.833,0.095
0.824,0.095
0.815,0.095
0.806,0.095
0.797,0.095
0.788,0.095
0.779,0.095
0.77,0.095
0.761,0.095
0.752,0.095
0.743,0.095
0.734,0.104
0.725,0.104
0.716,0.104
0.707,0.104
0.698,0.104
0.689,0.104
0.68,0.104
0.671,0.104
0.662,0.104
0.653,0.113
0.644,0.113
0.635,0.113
0.626,0.113
0.617,0.104
0.608,0.104
0.599,0.095
0.59,0.086
0.581,0.086
0.572,0.077
0.563,0.068
0.554,0.068
0.545,0.059
0.536,0.059
0.527,0.05
0.518,0.05
0.509,0.041
0.5,0.041
0.491,0.041
0.482,0.032
0.473,0.023
0.464,0.023
0.455,0.014
0.446,0.014
0.437,0.005
0.428,0.005
0.419,-0.004
0.41,-0.004
0.401,-0.013
0.392,-0.013
0.383,-0.022
0.374,-0.022
0.365,-0.031
0.356,-0.04
0.347,-0.049
0.338,-0.049
0.329,-0.058
0.32,-0.058
0.311,-0.067
0.302,-0.067
0.293,-0.076
0.284,-0.085
0.275,-0.094
0.266,-0.094
0.257,-0.094
0.248,-0.094
0.239,-0.103
0.23,-0.103
0.221,-0.103
0.212,-0.103
0.203,-0.112
0.194,-0.112
0.185,-0.121
0.176,-0.121
0.167,-0.121
0.158,-0.13
0.149,-0.13
0.14,-0.139
0.131,-0.139
0.122,-0.148
0.113,-0.148
0.104,-0.157
0.095,-0.157
0.086,-0.166
0.077,-0.166
0.068,-0.166
0.059,-0.175
0.05,-0.184
0.041,-0.184
0.032,-0.193
0.023,-0.202
0.014,-0.202
0.005,-0.211
-0.004,-0.211
-0.013,-0.22
-0.022,-0.229
-0.031,-0.229
-0.04,-0.238
-0.049,-0.238
-0.058,-0.247
-0.067,-0.247
-0.076,-0.256
-0.085,-0.256
-0.094,-0.265
-0.103,-0.274
-0.112,-0.274
-0.121,-0.283
-0.13,-0.283
-0.139,-0.283
-0.148,-0.292
-0.157,-0.301
-0.166,-0.31
-0.175,-0.31
-0.184,-0.319
-0.193,-0.328
-0.202,-0.328
-0.211,-0.337
-0.22,-0.337
-0.229,-0.346
-0.238,-0.355
-0.247,-0.355
-0.256,-0.364
-0.265,-0.373
-0.274,-0.382
-0.283,-0.382
-0.292,-0.391
-0.301,-0.4
-0.31,-0.409
-0.319,-0.418
-0.328,-0.427
-0.337,-0.427
-0.346,-0.436
-0.355,-0.436
-0.364,-0.445
-0.373,-0.454
-0.382,-0.454
-0.391,-0.463
-0.4,-0.472
-0.409,-0.472
-0.418,-0.481
-0.427,-0.49
-0.436,-0.499
-0.445,-0.508
-0.454,-0.517
-0.463,-0.526
-0.472,-0.535
-0.481,-0.544
-0.49,-0.553
-0.499,-0.562
-0.508,-0.571
-0.517,-0.571
-0.526,-0.58
-0.535,-0.589
-0.544,-0.598
-0.553,-0.598
-0.562,-0.607
-0.571,-0.616
-0.58,-0.616
-0.589,-0.625
-0.598,-0.634
-0.607,-0.643
-0.616,-0.652
-0.625,-0.661
